CORE-ID,CDISC Rule ID,Organization,Standard Name,Standard Version,Status,Sensitivity,Rule Type,Executability,Scope,Error Message,Output Variables,Description,Check,Operations
CDISC.SDTMIG.CG0463,CG0463,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Dataset,Record Data,Fully Executable,"{'Classes': {'Include': ['INTERVENTIONS']}, 'Domains': {'Include': ['ALL']}}",--TRT is not present in custom interventions dataset,,Trigger error when --TRT is not present in custom interventions dataset,"{'all': [{'name': None, 'operator': 'is_not_contained_by', 'prefix': 2, 'value': None}, {'name': '--TRT', 'operator': 'exists'}]}",
CDISC.SDTMIG.CG0464,CG0464,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Dataset,Record Data,Fully Executable,"{'Classes': {'Include': ['EVENTS']}, 'Domains': {'Include': ['ALL']}}",--TERM is not present in custom events dataset,,Trigger error when --TERM is not present in custom events dataset,"{'all': [{'name': None, 'operator': 'is_not_contained_by', 'prefix': 2, 'value': None}, {'name': '--TERM', 'operator': 'exists'}]}",
CDISC.SDTMIG.CG0466,CG0466,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['ALL']}}",--LLOQ is not expressed using the units in --STRESU,,Trigger error when --LLOQ is not expressed using the units in --STRESU,"{'all': [{'name': '--LLOQ', 'operator': 'exists'}, {'name': None, 'operator': None}]}",
CDISC.SDTMIG.CG0501,CG0501,CDISC,SDTMIG,"3.4,3.3",Draft,Dataset,Domain Presence Check,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",TM dataset is missing when MIDS variable is present in one of the dataset.,,Raise an error when variable MIDS is present in any of the dataset and TM dataset is missing.,"{'all': [{'name': '$MIDS_EXISTS', 'operator': 'equal_to', 'value': True}, {'name': 'TM', 'operator': 'not_exists'}]}","{'id': '$MIDS_EXISTS', 'name': 'MIDS', 'operator': 'variable_exists'}"
CDISC.SDTMIG.CG0502,CG0502,CDISC,SDTMIG,"3.4,3.3",Draft,Dataset,Domain Presence Check,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",TM dataset is missing when RELMIDS variable is present in any of the dataset.,,Raise an error when variable RELMIDS is present in any of the dataset and TM dataset is missing in a study.,"{'all': [{'name': '$RELMIDS_EXISTS', 'operator': 'equal_to', 'value': True}, {'name': 'TM', 'operator': 'not_exists'}]}","{'id': '$RELMIDS_EXISTS', 'name': 'RELMIDS', 'operator': 'variable_exists'}"
CDISC.SDTMIG.CG0523,CG0523,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['DM']}}",ARMCD is populated for a subject who was not assigned to treatment,,Trigger error when ARMCD is populated for a subject who was not assigned to treatment,"{'all': [{'name': None, 'operator': None}, {'name': 'ARMCD', 'operator': 'non_empty'}]}",
CDISC.SDTMIG.CG0524,CG0524,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['DM']}}",ACTARMCD is populated for a subject who was not assigned to treatment,,Trigger error when ACTARMCD is populated for a subject who was not assigned to treatment,"{'all': [{'name': None, 'operator': None}, {'name': 'ACTARMCD', 'operator': 'non_empty'}]}",
CDISC.SDTMIG.CG0525,CG0525,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['DM']}}",???,,"Trigger error when Sponsor collects Other, specify and chooses to map the value to SUPPDM, and NOT - RACE = 'OTHER' or RACE = 'MULTIPLE'","{'all': [{'name': None, 'operator': None}, {'name': 'RACE', 'operator': 'not_equal_to', 'value': 'UNKNOWN'}]}",
CDISC.SDTMIG.CG0526,CG0526,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['DM']}}","RACE is not equal to ""UNKNOWN"" when subject did not specify race",,"Trigger error when subject does not specify race and RACE is not equal to ""UNKNOWN""","{'all': [{'name': None, 'operator': None}, {'name': 'RACE', 'operator': 'not_equal_to', 'value': 'UNKNOWN'}]}",
CDISC.SDTMIG.CG0527,CG0527,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['DM']}}","RACE does not equal ""MULTIPLE"" when multiple races collected and primary race not specified",,"Trigger error when RACE does not equal ""MULTIPLE"" when multiple races collected and primary race not specified","{'all': [{'name': None, 'operator': None}, {'name': 'RACE', 'operator': 'not_equal_to', 'value': 'MULTIPLE'}]}",
CDISC.SDTMIG.CG0531,CG0531,CDISC,SDTMIG,"3.3,3.4",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['SUPPDM']}}",,,,{'all': []},
CDISC.SDTMIG.CG0532,CG0532,CDISC,SDTMIG,"3.3,3.4",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['DM']}}",,,,{'all': []},
CDISC.SDTMIG.CG0534,CG0534,CDISC,SDTMIG,"3.3,3.4",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['DM']}}",,,,{'all': []},
CDISC.SDTMIG.CG0537,CG0537,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['EVENTS']}, 'Domains': {'Include': ['DS']}}",There is more than one record per subject per EPOCH,"DSCAT,EPCOCH",Trigger error when there is more than one record per subject per EPOCH,"{'all': [{'name': 'DSCAT', 'operator': 'equal_to', 'value': 'DISPOSITION EVENT', 'value_is_literal': True}, {'name': 'DSSCAT', 'operator': 'not_exists'}, {'name': 'DSCAT', 'operator': 'is_not_unique_set', 'value': 'EPOCH'}]}",
CDISC.SDTMIG.CG0540,CG0540,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['DM']}}",There are no DS records for subject who was assigned treatment,USUBJID,"When ACTARMCD is populated, disposition data for subject must be present","{'all': [{'name': 'ACTARMCD', 'operator': 'non_empty'}, {'name': 'USUBJID', 'operator': 'is_not_contained_by', 'value': '$ds_usubjid'}]}","{'operator': 'distinct', 'domain': 'DS', 'name': 'USUBJID', 'id': '$ds_usubjid'}"
CDISC.SDTMIG.CG0546,CG0546,CDISC,SDTMIG,"3.4,3.3",Draft,Dataset,Record Data,Fully Executable,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['SM']}}",MIDS is not suffixed with a sequence number in consistent chronological order,,Trigger error when MIDSTYPE=TM.MIDSTYPE and TM.TMRPT=Y and MIDS is not suffixed with a sequence number in consistent chronological order,"{'all': [{'name': 'TMRPT', 'operator': 'equal_to', 'value': 'Y'}, {'name': 'MIDS', 'operator': None}]}",
CDISC.SDTMIG.CG0548,CG0548,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['ALL']}}",--ORREF is not in the same units as --ORRES,,Trigger error when --ORREF is not in the same units as --ORRES,"{'all': [{'name': '--ORREF', 'operator': None}]}",
CDISC.SDTMIG.CG0550,CG0550,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['ALL']}}",--STREFN is null when --STREFC is populated.,,"When --STREFC is populated, --STREFN should also be populated.","{'all': [{'name': '--STREFC', 'operator': 'non_empty'}, {'name': '--STREFN', 'operator': 'empty'}]}",
CDISC.SDTMIG.CG0551,CG0551,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['ALL']}}",--STREFN is not in the same units as --STRESN,,Trigger error when --STREFN is not in the same units as --STRESN,"{'all': [{'name': '--STREFN', 'operator': None}]}",
CDISC.SDTMIG.CG0555,CG0555,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['PP']}}",Parameter is non-normalized and terminology for PPORRESU is not for a non-normalized parameter,,Trigger error when parameter is non-normalized and terminology for PPORRESU is not for a non-normalized parameter,"{'all': [{'name': 'PPTESTCD', 'operator': 'does_not_contain_case_insensitive', 'value': 'norm'}, {'name': 'PPORRESU', 'operator': 'does_not_use_valid_codelist_terms', 'value': 'PKUNIT'}]}",
CDISC.SDTMIG.CG0556,CG0556,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['PP']}}",Parameter is normalized by dose amount and terminology for PPORRESU is not for a parameter normalized by dose amount,,Trigger error when parameter is normalized by dose amount and terminology for PPORRESU is not for a parameter normalized by dose amount,"{'all': [{'name': 'PPTESTCD', 'operator': 'contains_case_insensitive', 'value': 'norm by dose'}, {'name': 'PPORRESU', 'operator': 'does_not_use_valid_codelist_terms', 'value': 'PKUDMG'}, {'name': 'PPORRESU', 'operator': 'does_not_use_valid_codelist_terms', 'value': 'PKUDUG'}]}",
CDISC.SDTMIG.CG0557,CG0557,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['PP']}}",Parameter is normalized by weight and terminology for PPORRESU is not for a parameter normalized by weight,,Trigger error when parameter is normalized by weight and terminology for PPORRESU is not for a parameter normalized by weight,"{'all': [{'name': 'PPTESTCD', 'operator': 'contains_case_insensitive', 'value': 'norm by wt'}, {'name': 'PPORRESU', 'operator': 'does_not_use_valid_codelist_terms', 'value': 'PKUWG'}, {'name': 'PPORRESU', 'operator': 'does_not_use_valid_codelist_terms', 'value': 'PKUWKG'}]}",
CDISC.SDTMIG.CG0558,CG0558,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['PP']}}",Parameter is non-normalized and terminology of PPSTRESU is not for a non-normalized parameter,,Trigger error when parameter is non-normalized and terminology of PPSTRESU is not for a non-normalized parameter,"{'all': [{'name': 'PPTESTCD', 'operator': 'does_not_contain_case_insensitive', 'value': 'norm'}, {'name': 'PPSTRESU', 'operator': 'does_not_use_valid_codelist_terms', 'value': 'PKUNIT'}]}",
CDISC.SDTMIG.CG0559,CG0559,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['PP']}}",Parameter is normalized by dose amount and terminology of PPSTRESU is not a parameter normalized by dose amount,,Trigger error when parameter is normalized by dose amount and terminology of PPSTRESU is not a parameter normalized by dose amount,"{'all': [{'name': 'PPTESTCD', 'operator': 'contains_case_insensitive', 'value': 'norm by dose'}, {'name': 'PPSTRESU', 'operator': 'does_not_use_valid_codelist_terms', 'value': 'PKUDMG'}, {'name': 'PPSTRESU', 'operator': 'does_not_use_valid_codelist_terms', 'value': 'PKUDUG'}]}",
CDISC.SDTMIG.CG0560,CG0560,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['PP']}}",Parameter is normalized by weight and terminology for PPSTRESU is not for a parameter not normalized by weight,,Trigger error when parameter is normalized by weight and terminology for PPSTRESU is not for a parameter not normalized by weight,"{'all': [{'name': 'PPTESTCD', 'operator': 'contains_case_insensitive', 'value': 'norm by wt'}, {'name': 'PPSTRESU', 'operator': 'does_not_use_valid_codelist_terms', 'value': 'PKUWG'}, {'name': 'PPSTRESU', 'operator': 'does_not_use_valid_codelist_terms', 'value': 'PKUWKG'}]}",
CDISC.SDTMIG.CG0562,CG0562,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['ALL']}}",--REPNUM is null or is not unique per subject per test per timing variables.,,"Raise an error when REPNUM is in the dataset and there are multiple records for a subject for a test within the timeframe identified by the timing variables on the record, and --REPNUM is null or not unique per subject per test per timing variables.","{'all': [{'name': '--REPNUM', 'operator': 'exists'}, {'name': '--REPNUM', 'operator': 'is_not_unique_set', 'value': ['USUBJID', '--TESTCD', 'VISITNUM', '--VISIT', 'VISITDY', 'TAETORD', 'EPOCH', '--DTC', '--STDTC', '--ENDTC', '--DY', '--STDY', '--ENDY', '--XDY', '--XSTDY', '--XENDY', '--CHDY', '--CHSTDY', '--CHENDY', '--DUR', '--TPT', '--TPTNUM', '--ELTM', '--TPTREF', '--RFTDTC', '--STRF', '--ENRF', '--EVLINT', '--EVINTX', '--STRTPT', '--STTPT', '--ENRTPT', '--ENTPT', 'MIDS', 'RELMIDS', 'MIDSDTC', '--STINT', '--ENINT', '--PTFL', '--PDUR']}]}",
CDISC.SDTMIG.CG0563,CG0563,CDISC,SDTMIG,"3.4,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['RS']}}","Record is derived in a data collection tool and RSDRVFL is not equal to ""Y""",,"Raise an error when record is derived in a data collection tool and RSDRVFL is not equal to ""Y""","{'all': [{'name': None, 'operator': None}, {'name': 'RSDRVFL', 'operator': 'not_equal_to', 'value': 'Y'}]}",
CDISC.SDTMIG.CG0568,CG0568,CDISC,SDTMIG,3.3,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['INTERVENTIONS']}, 'Domains': {'Include': ['EX']}}",,,,{'all': []},
CDISC.SDTMIG.CG0571,CG0571,CDISC,SDTMIG,"3.2,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",,,,{'all': []},
CDISC.SDTMIG.CG0572,CG0572,CDISC,SDTMIG,"3.2,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",,,,{'all': []},
CDISC.SDTMIG.CG0573,CG0573,CDISC,SDTMIG,"3.2,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",,,,{'all': []},
CDISC.SDTMIG.CG0601,CG0601,CDISC,SDTMIG,3.4,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS ABOUT']}, 'Domains': {'Include': ['ALL']}}",,,"Verify that for finding collected in a \""Other, specify\"" CRF field a related parent record exist","{'all': [{'name': '--DECOD', 'operator': 'empty'}, {'name': None, 'operator': None}, {'name': None, 'operator': None}]}",
CDISC.SDTMIG.CG0602,CG0602,CDISC,SDTMIG,3.4,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS ABOUT']}, 'Domains': {'Include': ['F', 'A']}}",,,,{'all': []},
CDISC.SDTMIG.CG0603,CG0603,CDISC,SDTMIG,3.4,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['FA']}}",-OBJ does not equal --DECOD of the parent record,,"Raise an error when parent record exists and DECOD ^= null, and --OBJ does not equal --DECOD","{'all': [{'name': None, 'operator': ''}]}",
CDISC.SDTMIG.CG0604,CG0604,CDISC,SDTMIG,3.4,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS ABOUT']}, 'Domains': {'Include': ['F', 'A']}}",,,,{'all': []},
CDISC.SDTMIG.CG0605,CG0605,CDISC,SDTMIG,3.4,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS ABOUT']}, 'Domains': {'Include': ['F', 'A']}}",,,,{'all': []},
CDISC.SDTMIG.CG0607,CG0607,CDISC,SDTMIG,3.4,Draft,Record,Range and limit,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['MB']}}","Test targets an organism, group of organisms, or antigen, but MBTEST is not the name of the  organism/antigen.",,Verify MBTEST equals the name of the organism/antigen targeted by the identification assay.,"{'all': [{'name': 'MBTEST', 'operator': 'not_equal_to', 'value': None}]}",
CDISC.SDTMIG.CG0608,CG0608,CDISC,SDTMIG,3.4,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['MB']}}","Test targets an organism, group of organisms, or antigen, but MBTSTDTL is not ""DETECTION""",,"Verify MBTSTDTL is ""DETECTION"" if the tests targets an organism, group of organisms, or antigen.","{'all': [{'name': 'MBTSTDTL', 'operator': 'not_equal_to', 'value': 'DETECTION'}]}",
CDISC.SDTMIG.CG0609,CG0609,CDISC,SDTMIG,3.4,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['MB']}}","Test targets an organism, group of organisms, or antigen, but",,"Verify MBTESTCD is ""MCORGIDN"" if the test is for a non-targeted identification of organisms.","{'all': [{'name': 'MBTESTCD', 'operator': 'not_equal_to', 'value': 'MCORGIDN'}]}",
CDISC.SDTMIG.CG0610,CG0610,CDISC,SDTMIG,3.4,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['MB']}}","Test is for culture characteristics, but MBTEST is not the name of the  organism or group of organisms.",,"If the test is for culture characteristics, verify that MBTEST equals the name of the  organism/antigen being characterized.","{'all': [{'name': 'MBTEST', 'operator': 'not_equal_to', 'value': None}]}",
CDISC.SDTMIG.CG0614,CG0614,CDISC,SDTMIG,3.4,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['MB']}}",,,,{'all': []},
CDISC.SDTMIG.CG0615,CG0615,CDISC,SDTMIG,3.4,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['MB']}}",,,,{'all': []},
CDISC.SDTMIG.CG0616,CG0616,CDISC,SDTMIG,3.4,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['MB']}}",,,,{'all': []},
CDISC.SDTMIG.CG0617,CG0617,CDISC,SDTMIG,3.4,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['MB']}}",,,,{'all': []},
CDISC.SDTMIG.CG0620,CG0620,CDISC,SDTMIG,"3.3,3.4",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['SM', 'SE']}}",,,,{'all': []},
CDISC.SDTMIG.CG0650,CG0650,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Dataset,Dataset Metadata Check,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'include_split_datasets': True, 'Include': ['AP--']}}","Associated Persons non-supplemental qualifier dataset associated with a split dataset does not have a dataset name with a length greater than 4 and less than, or equal to, 6.",,"When an Associated Persons non-supplemental qualifier dataset is associated with a split dataset, the dataset name length must be greater than 4 and less than, or equal to, 6.","{'any': [{'name': 'dataset_name', 'operator': 'longer_than', 'value': 6}, {'name': 'dataset_name', 'operator': 'shorter_than', 'value': 4}]}",
CDISC.SDTMIG.CG0651,CG0651,CDISC,SDTMIG,"3.4,3.3",Draft,Variable,Variable Metadata Check against Define XML,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}","Variable is missing, where variable core status is permissible and data is planned to be collected.",,"Raise an error when variable Core Status = Permissible and data is planned to be collected, but variable is not present","{'all': [{'name': 'define_variable_role', 'operator': 'equal_to', 'value': 'Permissible'}, {'name': 'variable_name', 'operator': 'not_exists'}]}",
CDISC.SDTMIG.CG0662,CG0662,CDISC,SDTMIG,3.2,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['SE']}}",,,,{'all': []},
CDISC.SDTMIG.CG0663,CG0663,CDISC,SDTMIG,3.4,Draft,Variable,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['AP--'], 'Exclude': ['APRELSUB', 'SUPP--', 'POOLDEF']}}",AP Core Domain does not have a value length of 4 characters beginning with 'AP' and ending with 2 character SDTM domain,,Raise an error when an AP Core Domain does not have a value length of 4 characters beginning with 'AP' and ending with 2 character SDTM domain,"{'any': [{'all': [{'name': 'DOMAIN', 'operator': 'not_prefix_matches_regex', 'prefix': 4, 'value': '^APFA$'}, {'name': 'DOMAIN', 'operator': 'not_matches_regex', 'value': '^AP[A-Z][A-Z0-9]$'}]}, {'all': [{'name': 'DOMAIN', 'operator': 'prefix_matches_regex', 'prefix': 4, 'value': '^APFA$'}, {'name': 'DOMAIN', 'operator': 'not_suffix_matches_regex', 'suffix': 2, 'value': '[A-Z0-9][A-Z0-9]$'}]}, {'name': 'DOMAIN', 'operator': 'matches_regex', 'value': '^AP(AD|AX|AP|SQ|SA)$'}, {'name': 'DOMAIN', 'operator': 'matches_regex', 'value': '^APFA(AD|AX|AP|SQ|SA)$'}]}",
CDISC.SDTMIG.CG0664,CG0664,CDISC,SDTMIG,3.4,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",,,,{'all': []},
CDISC.SEND.147,SEND147,CDISC,"SENDIG,SENDIG-DART","v3.0,3.1,3.1.1,1.1",Draft,Record,Record Data,,,"--BLFL value must either be ""Y"" or null",,"Raise an error when --BLFL value is not populated with either ""Y"" or null","{'any': [{'name': '--BLFL', 'operator': 'empty'}, {'name': '--BLFL', 'operator': 'equal_to', 'value': 'Y'}]}",
CDISC.SEND.320,SEND320,CDISC,"SENDIG,SENDIG-DART","v3.1,v3.1.1,v1.1",Draft,Record,Record Data,,{'Classes': {'Include': ['ALL']}},,,Raise an error when MADTC or MIDTC or TFDTC is not null and not equal to the date/time of the subject disposition from DS domain,,
CDISC.SENDIG.102,102,CDISC,SENDIG,3.1,Draft,Record,Record Data,,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['DM']}}",AGETXT must be in number dash number format,"USUBJID,AGETXT",AGETXT must be in number dash number format,"{'all': [{'name': 'AGETXT', 'operator': 'non_empty'}, {'name': 'AGETXT', 'operator': 'not_matches_regex', 'value': '^[0-9]+-[0-9]+$'}]}",
CDISC.SENDIG.103,103,CDISC,SENDIG,3.1,Draft,Study,Record Data,,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['DM']}}","AGETXT is populated, so neither BRTHDTC nor AGE may be populated","USUBJID,AGETXT,BRTHDTC,AGE",AGETXT is used to present the age range in situations where the exact birthdate is not known.  If AGETXT is included both BRTHDTC and AGE should not be populated.,"{'all': [{'name': 'AGETXT', 'operator': 'non_empty'}, {'any': [{'name': 'BRTHDTC', 'operator': 'non_empty'}, {'name': 'AGE', 'operator': 'non_empty'}]}]}",
CDISC.SENDIG.104,104,CDISC,SENDIG,3.1,Draft,Study,Record Data,,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['DM']}}","AGE or AGETXT is populated, but AGEU is not populated","USUBJID,AGETXT,AGE,AGEU","AGEU is the until associated with AGE or AGETXT.  If either of those variables is populated, AGEU should be populated.","{'all': [{'name': 'AGEU', 'operator': 'empty'}, {'any': [{'name': 'AGETXT', 'operator': 'non_empty'}, {'name': 'AGE', 'operator': 'non_empty'}]}]}",
CDISC.SENDIG.105,105,CDISC,SENDIG,3.1,Draft,Dataset,Record Data,,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['DM']}}",SPECIES in not present in DM and there is no record TSPARMCD=SPECIES in TS and there is no record TXPARMCD=SPECIES in TX,,"Raise an error when the variable SPECIES is not oresent in DM, and there is no record TSPARMCD=SPECIES in TS and there is no record TXPARMCD=SPECIES in TX","{'all': [{'name': 'SPECIES', 'operator': 'not_exists'}, {'name': 'USUBJID', 'operator': 'exists'}, {'name': 'TS.TSPARMCD', 'operator': 'not_equal_to', 'value': 'SPECIES'}]}","{'domain': 'TS', 'id': '$ts_species', 'name': 'TSPARMCD', 'operator': 'equal_to', 'value': 'SPECIES'}"
CDISC.SENDIG.107,SENDIG107,CDISC,SENDIG,3.1,Draft,Record,Record Data,,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['DM']}}",ARMCD is present in TA.ARMCD but is not provided in DM.ARMCD,,"When study does not use multi-stage arm assignments and ARMCD is populated, ARMCD must be present in TA.ARMCD. This rule has been executed to identify all cases when ARMCD is not present in TA.ARMCD and therefore acknowledges that false positives may be recorded when multi-stage arm assignments are in use.","{'all': [{'name': 'TA', 'operator': 'exists'}, {'name': 'ARMCD', 'operator': 'empty'}]}",
CDISC.SENDIG.109,109,CDISC,SENDIG,3.1,Draft,Record,Record Data,,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",USUBJID is not found in DM.USUBJID,,Trigger error when USUBJID is not present in DM in DM.USUBJID,"{'all': [{'name': 'USUBJID', 'operator': 'non_empty'}, {'name': 'USUBJID', 'operator': 'is_not_contained_by', 'value': '$dm_usubjid'}]}","{'domain': 'DM', 'id': '$dm_usubjid', 'name': 'USUBJID', 'operator': 'distinct'}"
CDISC.SENDIG.113,113,CDISC,SENDIG,3.1,Draft,Record,Record Data,,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['DM']}}",SETCD is not present in TX.SETCD,,The value of SETCD in DM must be one of the SETCD values in TX.,"{'all': [{'name': 'SETCD', 'operator': 'non_empty'}, {'name': 'SETCD', 'operator': 'is_not_contained_by', 'value': '$tx_setcd'}]}","{'domain': 'TX', 'id': '$tx_setcd', 'name': 'SETCD', 'operator': 'distinct'}"
CDISC.SENDIG.118,118,CDISC,SENDIG,3.1,Draft,Record,Record Data,,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['CO']}}",IDVARVAL may not be populated as IDVAR is null,"IDVARVAL,IDVAR",IDVAR must be specified.,"{'all': [{'name': 'IDVAR', 'operator': 'empty'}, {'name': 'IDVARVAL', 'operator': 'non_empty'}]}",
CDISC.SENDIG.121,121,CDISC,SENDIG,3.1,Draft,Record,Record Data,,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['CO', 'RELREC']}}",IDVAR does not represent a variable present in the dataset identified in RDOMAIN,"RDOMAIN,USUBJID,IDVAR,IDVARVAL",When IDVAR and IDVARVAL are populated those referenced values must exist in the parent domain identified in RDOMAIN.,"{'all': [{'name': 'IDVAR', 'operator': 'is_not_valid_relationship', 'context': 'RDOMAIN', 'value': 'IDVARVAL'}]}",
CDISC.SENDIG.124,124,CDISC,SENDIG,3.1,Draft,Record,Record Data,,"{'Classes': {'Include': ['SPECIAL PURPOSE']}, 'Domains': {'Include': ['SE']}}",ELEMENT variable has a non-null value when ETCD has a value of 'UNPLAN',"ETCD,ELEMENT",Verify that ELEMENT value is blank when ETCD is equal to UNPLAN,"{'all': [{'name': 'ETCD', 'operator': 'equal_to', 'value': 'UNPLAN'}, {'name': 'ELEMENT', 'operator': 'non_empty'}]}",
